dialogue_id,question,answer
1,Под каким номером играл Криштиану Роналду в Ювентусе?,7
1,Под каким номером он играл в Манчестер Юнайтед?,7
1,В каком году он был рожден?,1985
2,Сколько лет прожил величайший русский поэт Александр Сергеевич Пушкин?,37
2,В каком году он родился?,1799
2,Дуэль в каком году стала для него последней?,1837
3,Сколько было участников в золотом составе группы Битлз?,4
3,В каком году родился барабанщик золотого состава группы?,1940
3,В каком году распалась группа?,1970
4,В каком году родился Альберт Эйнштейн?,1879
4,В каком году он умер?,1955
4,Сколько лет всего прожил?,76
5,Из скольких различных азотистых оснований состоит ДНК?,4
5,В каком году была получена Нобелевская премия за ее открытие?,1962
6,Сколько хромосом у человека?,46
6,А у кошки?,38
7,Сколько всего восьмитысячников?,14
7,Напишите высоту самого высокого в метрах?,8848
