text_id,text,is_spam
143,Удаленная работа. От нас: Зп от 2500$,1
179,Что вы думаете о концепции децентрализованных бирж (DEX)? Какие преимущества они предоставляют по сравнению с традиционными биржами?,0
147,Удалённый заработок. Время 1-2часа в день. Можно без опыта всему обучим. заработок в долларах. Возраст 20+,1
157,Меня всегда интересовал вопрос безопасности хранения криптовалюты. Какие лучшие методы хранения считаются наиболее надежными?,0
168,"Я слышал, что некоторые банки начали экспериментировать с использованием блокчейна для улучшения системы денежных переводов. Это может изменить финансовую индустрию?",0
276,"Майнинг Bitcoin потребляет много электроэнергии, и эффективность майнинга стала важным вопросом для экологии.									",0
39,"Привествую! Могу помочь тебе обучиться зарабатывать. Могу показать тему которая принесет 100-200$ каждый день. Провожу набор, всего 6 бойцов! Научим абсолютно БЕСПЛАТНО.От тебя только желание и телефон с меня обучение и доведение до результата. Напиши по контактам, что бы приобрести больше",1
275,"Концепция криптовалюты была предложена в 1998 году Тимом Мэйком, задолго до создания Bitcoin.									",0
267,Какие аспекты экологии майнинга криптовалюты следует учитывать? Какие проекты инициируют изменения в этой области?									,0
207,Учите анализ рынка. Знание графиков и индикаторов поможет вам принимать более обоснованные решения при торговле.,0
55,"Всем доброй ночи, есть те, кто занимается криптой? Ищу единомышленников для общения, либо может кто хочет начать заниматься, могу поделиться курсами по данной теме)",1
144,Удаленная работа 100-200$ в день. Пишите в лс. Не вебакам! Не наркотики!,1
196,Какие ваше мнение о проблеме масштабируемости в блокчейне?,0
286,"За прошедшие несколько лет криптовалюта пережила несколько циклов быстрого роста и коррекции, что привело к большому интересу и волатильности на рынке.",0
56,"всем привет! ищу людей на работу по крипте. Зарабатываем на разнице в курсе. Средств под управление не беру, все делаете со своего аккаунта. Обучу и доведу до первой прибыли. Доход от 100 долларов в день. Мой интерес-процент от вашей прибыли! Пишите только те кто заинтересованы",1
76,Зарабатывайте на межбиржевой торговле! Присоединяйтесь к нашему комьюнити и увеличивайте свой капитал ежедневно.Кому интересно + в лс.,1
250,"Заработал $100 на Airdrop-программе. Внимательно следите за такими возможностями, они могут быть прибыльными.							",0
263,"Поделитесь опытом использования криптовалютных кредитных карт. Какие выгоды они предоставляют, и какие риски следует учитывать?									",0
14,⁠⁠⁠⁠⁠Лиды на недвижимость- Лиды продаются в одни руки - Конверсия в покупку 10-25% - Работаем по договору- Ежедневные заявки от потенциальных клиентов - Гарантия замены нецелевых лидов,1
217,"Если у вас есть талант к анализу данных, рассмотрите карьеру аналитика криптовалютных рынков.",0
156,"Что вы думаете о связи между криптовалютами и экологическими проблемами? Некоторые говорят, что майнинг Bitcoin негативно влияет на окружающую среду.",0
122,⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠Привет! Возьму в команду  заинтересованного в заработке человека Уделять 1/2 часа в день.Напиши в лuчные сообщенuя ( ХОЧУ ЗАРАБОТАТЬ НА КРИПТЕ),1
249,"Какие криптовалюты сейчас находятся в вашем портфеле? Мой личный фаворит - Ethereum, который оценивается в $2,500.							",0
291,Транзакция (Transaction) - это запись об отправке или получении криптовалюты. Она включает в себя адрес отправителя и получателя.								,0
170,"Какие альткойны считаются самыми перспективными для инвестиций, помимо Bitcoin и Ethereum?",0
237,Следите за рынком занятости в сфере криптовалют. Новые возможности и вакансии появляются с каждым днем.,0
295,"FUD (Fear, Uncertainty, Doubt) - это негативные слухи и информация, которые могут повлиять на цену криптовалюты.								",0
44,"Прошу минуту внимания!! АРБИТРАЖ КРИПТЫ!! Хотел бы объявить что у меня есть новая прибыльная связка! Все дейтсвия будут проходить только внутри биржи! редства только в вашем доступе. Продажа или совместная работа, пишите",1
38,"Приветствую ,ребята, у меня для вас,есть  предложение поднять лавэ! Давно хочешь получать доход с дома? Готов дать схему Которая принесет 200-300$ ежедневно.Для отработки требуется только смартфон.Все очень легко даже для новичка. Поторопись, осталось 5 мест",1
239,Работа в мировой команде разработчиков блокчейн-проекта может предоставить вам множество опыта и перспектив для роста.,0
107,Обучаю зарабатывать на разнице в курсе. Готов взять 5 новичков с опытом и без. Зарабатываем от 20%-30%  в неделю чистой прибыли. Потолка нет‼Пиши в лс и погнали зарабатывать вместе,1
158,"Я пытаюсь разобраться, как работает технология мастернод в различных блокчейн-сетях. Какие проекты предлагают награды мастернодам?",0
117,"Привет , коротко и понятно , если хочешь быстро заработать денег в крипте без просадок, напиши мне )) 1000$ в неделю и это только начало )) жду тебя !!",1
85,Здраствуйте.Предлагаю удалённую занятость и место в моей команде.Гибкий график.Доход от 100$ день.,1
109,"Онлайн заработок в развивающейся сфере криптовалюты, бесплатное обучение, и стабильный доход. Кому интересно пишите в личные сообщения.",1
132,"Ecть пpедложeние пo coвмecтнoй рaбoтe, делaeм пpибыль нa pазницe цены кpиптoвaлют мeждy биржами(5-7% зa кpyг) + дaю нa теcт cвязкy, мой интерес % от прибыли! Пиши в ЛС",1
172,Рост NFT рынка вызвал много обсуждений. Что вы думаете об этой новой форме цифровой собственности?,0
189,Как вы смотрите на долгосрочные инвестиции в криптовалюты?,0
26,Приветствую! Заинтересован поднимать 200 $ каждый день? Могу показать тему которая тебе поможет!Гарантия прибыли с первых днейНаша команда обучает начинающих БЕСПЛАТНО.От тебя только желание и смартфон с нас обучение и доведение до результатаХочешь зарабатывать? Я здесь,1
138,Расширяем команду - Крипта (Удаленнка). Нужен телефон/ноутбук. Заработок от 40.000 в неделю (500usdt). Необходимо 1-2 часа в день (без опыта набираем тоже). Интересно — Пиши в лс,1
72,"Добрый день! Проводим набор группы на бесплатное обучение в сфере цифровых валют. При успешном прохождении курса для заинтересованных учеников есть возможность попасть в команду. Пишите в лс, всем хорошего дня!",1
29,"Хочешь хорошо делать кеш используя только биржу? Нет знаний, но есть большое стремление? Есть новая схема которая даст возможность делать от 200$ в сутки!Хочешь в команду?Вся работа только на официальных площадках. Никаких платных входов в группы.Обучение с нуля.Для работы нужно время и профиль на бирже Хочешь так же?",1
62,"Всем привет, работаю в крипте, и вас тоже научу. Зарабатывать в месте со мной легко. В команду беру людей также и без опыта, всему научим! Обучение бесплатное, с вас желание зарабатывать. Интересно? Пиши в лс))",1
282,"Чтобы создать Bitcoin, нужно решить сложные математические задачи в процессе майнинга. Этот процесс называется доказательством работы (Proof of Work).									",0
75,"Есть места ‼Обучаю межбирживому арбитражу  за свой процент с чистой прибыли. Работаем на мировых биржах. От 20-30% в неделю чистой прибыли! Если ты готов уделять 1-2 часа в день и поменять свою жизнь ,то скорее пиши в лс",1
48,"Арбитраж !!!Лимитов НЕТ0,5-1% профита кому интересно пишите в л.с",1
78,Здравствуйте! Меня зовут Влад Хочу предложить вам сотрудничеств. Я предоставляю информацию для заработка. Вы мне взамен % от прибыли. Интересует ?,1
