problem,answer
Периметр прямоугольника со сторонами 1.5 м и 2 м. Ответ дай в сантиметрах.,700.0
Найди сумму площадей круга с радиусом 5 см и круга с радиусом 3 см.,106.81415022205297
Переведи числа 20 и 32 из десятичной в двоичную систему счисления и найди сумму единиц.,3.0
Переведи числа из двоичной системы счисления 1101011010 и 101011 и посчитай их сумму.,901.0
"Найди объем цилиндра с радиусом 10 см и высотой 30 см, переведи результат в литры.",9.424777950000001
"Найди длину дуги окружности с радиусом 20 м, образованной центральным углом 60°, затем переведи результат в сантиметры.",2094.3951023931955
Переведи десятичное число 1524 в двоичную систему счисления и найди количество единиц в его двоичном представлении.,7.0
"Найти объем куба со стороной 5 см, затем перевести результат в двоичную систему счисления.",1111101
"Стороны треугольника соответственно равны 30 см, 40 см и 0b110010 см (переведи это число из двоичной системы счисления в десятичную). Найди площадь этого треугольника.",600.0
"Найди объемы двух цилиндров с радиусами 8 см и 12 см и высотами 20 см и 25 см соответственно, затем сложи эти объемы и переведи сумму в литры.",15.33097214951819
